Sum of actual_lead_time_days,Sum of delay_days,Sum of base_lead_time_days,delivery_status,delay_days (bins),destination_city,disruption_event,Sum of geopolitical_risk_index,Sum of inflation_rate_pct,Sum of is_delayed,Sum of lead_time_variance_days,mitigation_action_taken,Sum of on_time_flag,order_date,Sum of order_weight_kg,order_id,origin_city,product_category,risk_band,Sum of risk_bucket,Sum of risk_score,route_type,Sum of scheduled_lead_time_days,Sum of shipping_cost_usd,transportation_mode,Sum of weather_severity_index
26,1,24,Late,0,"Felixstowe, UK",None,0.67,3.32,1,1,Standard Shipping,0,2024-05-22 00:00:00,6807,ORD-68FA6989,"Mumbai, IN",Consumer Electronics,Medium,2,2.926,Suez,25,5683.84,Sea,5.6
26,1,24,Late,0,"Felixstowe, UK",None,0.87,4.9,1,1,Standard Shipping,0,2025-12-04 00:00:00,5175,ORD-03381380,"Mumbai, IN",Semiconductors,High,3,4.207,Suez,25,4838.62,Sea,8.1
20,1,18,Late,0,"Los Angeles, US",None,0.7,4.72,1,1,Standard Shipping,0,2025-05-05 00:00:00,3512,ORD-350C2980,"Shanghai, CN",Raw Materials,High,3,4.619,Pacific,19,2985.2,Sea,9.6
20,1,18,Late,0,"Los Angeles, US",None,0.84,4.24,1,1,Standard Shipping,0,2025-07-28 00:00:00,5895,ORD-50B2ED31,"Shanghai, CN",Perishable Foods,High,3,4.131,Pacific,19,5423.4,Sea,8.3
20,1,18,Late,0,"Los Angeles, US",None,0.67,3.39,1,1,Standard Shipping,0,2025-08-05 00:00:00,6638,ORD-2633E643,"Shanghai, CN",Auto Parts,Medium,2,2.24,Pacific,19,5542.73,Sea,3.6
6,3,2,Late,0,"Los Angeles, US",Port Congestion,0.18,2.64,1,3,Expedited Air Freight,0,2024-01-30 00:00:00,5316,ORD-D11884FC,"Shanghai, CN",Semiconductors,Medium,2,2.359,Pacific,3,56926.39,Air,5
23,3,18,Late,0,"Los Angeles, US",Port Congestion,0.7,3.29,1,3,Expedited Air Freight,0,2024-11-29 00:00:00,5089,ORD-C2B5E6A7,"Shanghai, CN",Semiconductors,High,3,3.528,Pacific,20,7137.32,Sea,7.3
20,1,18,Late,0,"Los Angeles, US",Port Congestion,0.29,3.48,1,1,Standard Shipping,0,2024-02-19 00:00:00,6012,ORD-B98BDCC9,"Shanghai, CN",Consumer Electronics,High,3,4.292,Pacific,19,4265.51,Sea,9.9
23,3,18,Late,0,"Los Angeles, US",Port Congestion,0.8,1.27,1,3,Standard Shipping,0,2024-03-05 00:00:00,8773,ORD-AE2D02E3,"Shanghai, CN",Textiles,High,3,4.044,Pacific,20,8685.27,Sea,9.8
22,1,18,Late,0,"Los Angeles, US",Port Congestion,0.89,5.69,1,1,Standard Shipping,0,2024-04-20 00:00:00,7770,ORD-39080F0D,"Shanghai, CN",Consumer Electronics,Medium,2,3.079,Pacific,21,8076.91,Sea,4.4
21,2,18,Late,0,"Los Angeles, US",Port Congestion,0.73,2.48,1,2,Standard Shipping,0,2024-04-24 00:00:00,9328,ORD-787DA563,"Shanghai, CN",Raw Materials,High,3,3.625,Pacific,19,8875.59,Sea,8
23,4,18,Late,0,"Los Angeles, US",Port Congestion,0.29,3.04,1,4,Standard Shipping,0,2024-10-04 00:00:00,8291,ORD-A9E1E1DB,"Shanghai, CN",Raw Materials,Medium,2,2.384,Pacific,19,5882.46,Sea,4.7
23,2,18,Late,0,"Los Angeles, US",Port Congestion,0.69,6.65,1,2,Standard Shipping,0,2024-10-26 00:00:00,9804,ORD-B9A7C9E8,"Shanghai, CN",Raw Materials,High,3,3.846,Pacific,21,9112.82,Sea,6.3
22,2,18,Late,0,"Los Angeles, US",Port Congestion,0.45,3.55,1,2,Standard Shipping,0,2024-11-09 00:00:00,5355,ORD-35EBA634,"Shanghai, CN",Consumer Electronics,High,3,3.328,Pacific,20,4270.62,Sea,6.9
24,4,18,Late,0,"Los Angeles, US",Port Congestion,0.77,4.34,1,4,Standard Shipping,0,2024-12-28 00:00:00,2519,ORD-69D51A22,"Shanghai, CN",Textiles,High,3,3.84,Pacific,20,2452.25,Sea,7.5
22,3,18,Late,0,"Los Angeles, US",Port Congestion,0.4,7.13,1,3,Standard Shipping,0,2025-01-15 00:00:00,7989,ORD-792F2A8F,"Shanghai, CN",Raw Materials,Medium,2,2.901,Pacific,19,6151.53,Sea,3.7
23,2,18,Late,0,"Los Angeles, US",Port Congestion,0.32,5.66,1,2,Standard Shipping,0,2025-02-04 00:00:00,1619,ORD-7C57A606,"Shanghai, CN",Perishable Foods,Low,1,2.046,Pacific,21,1175.39,Sea,2.2
22,1,18,Late,0,"Los Angeles, US",Port Congestion,0.36,2.68,1,1,Standard Shipping,0,2025-02-10 00:00:00,2101,ORD-BB5228A4,"Shanghai, CN",Raw Materials,High,3,3.428,Pacific,21,1571.55,Sea,7.8
22,3,18,Late,0,"Los Angeles, US",Port Congestion,0.77,2.23,1,3,Standard Shipping,0,2025-04-02 00:00:00,1916,ORD-E1AC2374,"Shanghai, CN",Perishable Foods,Medium,2,2.333,Pacific,19,1865.23,Sea,4.4
22,1,18,Late,0,"Los Angeles, US",Port Congestion,0.4,2.77,1,1,Standard Shipping,0,2025-04-20 00:00:00,4743,ORD-407E8CA9,"Shanghai, CN",Perishable Foods,High,3,3.954,Pacific,21,3652.11,Sea,9.2
24,4,18,Late,0,"Los Angeles, US",Port Congestion,0.7,3.06,1,4,Standard Shipping,0,2025-05-18 00:00:00,4446,ORD-ED7F314D,"Shanghai, CN",Perishable Foods,Low,1,1.732,Pacific,20,4157.01,Sea,2.3
22,2,18,Late,0,"Los Angeles, US",Port Congestion,0.72,2.37,1,2,Standard Shipping,0,2025-12-02 00:00:00,2642,ORD-CC98247B,"Shanghai, CN",Auto Parts,Low,1,1.323,Pacific,20,2499.33,Sea,1.5
23,3,18,Late,0,"Los Angeles, US",Port Congestion,0.51,4.02,1,3,Standard Shipping,0,2025-12-31 00:00:00,4346,ORD-F2E659A6,"Shanghai, CN",Perishable Foods,High,3,3.519,Pacific,20,3609.35,Sea,7.1
23,4,18,Late,0,"Los Angeles, US",Severe Weather (Typhoon/Storm),0.57,3.64,1,4,Expedited Air Freight,0,2024-08-21 00:00:00,7186,ORD-88BB82FB,"Shanghai, CN",Semiconductors,Medium,2,3.225,Pacific,19,10153.82,Sea,6.4
23,3,18,Late,0,"Los Angeles, US",Severe Weather (Typhoon/Storm),0.84,1.85,1,3,Standard Shipping,0,2024-07-06 00:00:00,6648,ORD-5A6E32CE,"Shanghai, CN",Raw Materials,High,3,3.513,Pacific,20,7339.39,Sea,7.9
24,3,18,Late,0,"Los Angeles, US",Severe Weather (Typhoon/Storm),0.41,3.88,1,3,Standard Shipping,0,2025-08-06 00:00:00,6360,ORD-8A620311,"Shanghai, CN",Consumer Electronics,Low,1,1.241,Pacific,21,5380.56,Sea,0.8
4,1,2,Late,0,"New York, US",None,0.73,3.75,1,1,Standard Shipping,0,2025-07-22 00:00:00,8569,ORD-54E1A528,"Hamburg, DE",Semiconductors,High,3,4.229,Atlantic,3,81534.04,Air,9
19,4,12,Late,0,"New York, US",Port Congestion,0.74,3.11,1,4,Expedited Air Freight,0,2024-03-03 00:00:00,6790,ORD-5889C6FF,"Hamburg, DE",Semiconductors,Medium,2,3.195,Atlantic,15,9747.05,Sea,6.4
8,4,2,Late,0,"New York, US",Port Congestion,0.57,2.54,1,4,Expedited Air Freight,0,2024-03-06 00:00:00,7167,ORD-8D71A3D5,"Hamburg, DE",Pharmaceuticals,Low,1,1.15,Atlantic,4,102113.62,Air,1.1
7,3,2,Late,0,"New York, US",Port Congestion,0.63,2.88,1,3,Expedited Air Freight,0,2024-04-29 00:00:00,8075,ORD-ADA59628,"Hamburg, DE",Semiconductors,Low,1,1.56,Atlantic,4,119447.43,Air,2
18,3,12,Late,0,"New York, US",Port Congestion,0.74,2.96,1,3,Expedited Air Freight,0,2024-06-25 00:00:00,8586,ORD-A5C7A8D7,"Hamburg, DE",Pharmaceuticals,Medium,2,2.955,Atlantic,15,12325.2,Sea,5.8
5,1,2,Late,0,"New York, US",Port Congestion,0.65,4.78,1,1,Expedited Air Freight,0,2024-11-01 00:00:00,3733,ORD-AF61D5C0,"Hamburg, DE",Pharmaceuticals,Medium,2,2.964,Atlantic,4,55897,Air,4.9
5,1,2,Late,0,"New York, US",Port Congestion,0.3,3.91,1,1,Expedited Air Freight,0,2024-11-09 00:00:00,7415,ORD-D8FC8CC2,"Hamburg, DE",Semiconductors,High,3,3.437,Atlantic,4,87478.46,Air,7.2
7,2,2,Late,0,"New York, US",Port Congestion,0.38,3.13,1,2,Expedited Air Freight,0,2024-12-18 00:00:00,5048,ORD-171C99A4,"Hamburg, DE",Pharmaceuticals,Medium,2,2.862,Atlantic,5,63218.63,Air,5.9
5,1,2,Late,0,"New York, US",Port Congestion,0.42,5.22,1,1,Expedited Air Freight,0,2025-02-18 00:00:00,2099,ORD-46C4B365,"Hamburg, DE",Pharmaceuticals,High,3,3.963,Atlantic,4,27048.76,Air,7.8
8,3,2,Late,0,"New York, US",Port Congestion,0.89,3.26,1,3,Expedited Air Freight,0,2025-03-02 00:00:00,2472,ORD-A6EF34EE,"Hamburg, DE",Semiconductors,Medium,2,2.873,Atlantic,5,42399.13,Air,5.2
15,2,12,Late,0,"New York, US",Port Congestion,0.28,6.24,1,2,Expedited Air Freight,0,2025-04-30 00:00:00,4524,ORD-F4119428,"Hamburg, DE",Semiconductors,High,3,3.579,Atlantic,13,4777.34,Sea,6.3
5,2,2,Late,0,"New York, US",Port Congestion,0.61,0.55,1,2,Expedited Air Freight,0,2025-08-03 00:00:00,1764,ORD-9BEAAD44,"Hamburg, DE",Pharmaceuticals,Low,1,1.715,Atlantic,3,25773.36,Air,3.8
7,2,2,Late,0,"New York, US",Port Congestion,0.43,1.9,1,2,Expedited Air Freight,0,2025-09-30 00:00:00,6369,ORD-84A586DA,"Hamburg, DE",Pharmaceuticals,Low,1,1.519,Atlantic,5,82652.1,Air,2.7
8,3,2,Late,0,"New York, US",Port Congestion,0.64,3.31,1,3,Expedited Air Freight,0,2025-10-24 00:00:00,6958,ORD-C36BAE07,"Hamburg, DE",Semiconductors,Medium,2,2.14,Atlantic,5,103555.91,Air,3.4
6,3,2,Late,0,"New York, US",Port Congestion,0.46,3.54,1,3,Expedited Air Freight,0,2025-11-19 00:00:00,1021,ORD-3E49CA17,"Hamburg, DE",Semiconductors,Low,1,1.93,Atlantic,3,13527.74,Air,2.9
