Order_ID,Order_Date,Origin_City,Destination_City,Route_Type,Transportation_Mode,Product_Category,Base_Lead_Time_Days,Scheduled_Lead_Time_Days,Actual_Lead_Time_Days,Delay_Days,Delivery_Status,Disruption_Event,Geopolitical_Risk_Index,Weather_Severity_Index,Inflation_Rate_Pct,Shipping_Cost_USD,Order_Weight_Kg,Mitigation_Action_Taken
ORD-00BCB25B,4/5/2024,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Textiles,18,21,18,0,On Time,None,0.81,8.9,1.83,1611.81,1781,Standard Shipping
ORD-EBDBACB7,9/8/2024,"Tokyo, JP","Singapore, SG",Intra-Asia,Air,Pharmaceuticals,2,5,2,0,On Time,None,0.7,5.9,2.44,76127.7,8142,Standard Shipping
ORD-4052DA06,1/28/2025,"Shenzhen, CN","Rotterdam, NL",Suez,Air,Semiconductors,3,4,4,0,On Time,None,0.46,8.1,3.86,13699.18,1706,Standard Shipping
ORD-03F41ABB,2/4/2025,"Santos, BR","Shanghai, CN",Commodity,Sea,Consumer Electronics,35,36,35,0,On Time,None,0.88,9.3,1.58,5448.24,5796,Standard Shipping
ORD-347A88A6,5/20/2025,"Hamburg, DE","New York, US",Atlantic,Sea,Raw Materials,12,13,12,0,On Time,None,0.55,2.9,3.12,1215.98,1569,Standard Shipping
ORD-113CD5AB,11/1/2025,"Hamburg, DE","New York, US",Atlantic,Sea,Auto Parts,12,15,12,0,On Time,None,0.12,7.1,2.77,2890.72,5162,Standard Shipping
ORD-2A8EE4EE,3/23/2024,"Mumbai, IN","Felixstowe, UK",Suez,Sea,Consumer Electronics,24,26,23,0,On Time,None,0.5,1.2,4.59,6888,9184,Standard Shipping
ORD-C6B65B99,11/20/2025,"Tokyo, JP","Singapore, SG",Intra-Asia,Sea,Perishable Foods,7,10,7,0,On Time,None,0.83,2.6,3.77,6060.05,6623,Standard Shipping
ORD-A5C7A8D7,6/25/2024,"Hamburg, DE","New York, US",Atlantic,Sea,Pharmaceuticals,12,15,18,3,Late,Port Congestion,0.74,5.8,2.96,12325.2,8586,Expedited Air Freight
ORD-B5E7E96D,11/29/2025,"Shenzhen, CN","Rotterdam, NL",Suez,Sea,Perishable Foods,28,31,27,0,On Time,None,0.67,4.3,4.32,1486.3,1780,Standard Shipping
